code,name,continent,population,"sum(population) over()"
SWE,Sweden,Europe,8861400,6078749450
SWZ,Swaziland,Africa,1008000,6078749450
SYC,Seychelles,Africa,77000,6078749450
SYR,Syria,Asia,16125000,6078749450
TCA,"Turks and Caicos Islands","North America",17000,6078749450
TCD,Chad,Africa,7651000,6078749450
TGO,Togo,Africa,4629000,6078749450
THA,Thailand,Asia,61399000,6078749450
TJK,Tajikistan,Asia,6188000,6078749450
TKL,Tokelau,Oceania,2000,6078749450
TKM,Turkmenistan,Asia,4459000,6078749450
TMP,"East Timor",Asia,885000,6078749450
TON,Tonga,Oceania,99000,6078749450
TTO,"Trinidad and Tobago","North America",1295000,6078749450
TUN,Tunisia,Africa,9586000,6078749450
TUR,Turkey,Asia,66591000,6078749450
TUV,Tuvalu,Oceania,12000,6078749450
TWN,Taiwan,Asia,22256000,6078749450
TZA,Tanzania,Africa,33517000,6078749450
UGA,Uganda,Africa,21778000,6078749450
UKR,Ukraine,Europe,50456000,6078749450
UMI,"United States Minor Outlying Islands",Oceania,0,6078749450
URY,Uruguay,"South America",3337000,6078749450
USA,"United States","North America",278357000,6078749450
UZB,Uzbekistan,Asia,24318000,6078749450
VAT,"Holy See (Vatican City State)",Europe,1000,6078749450
VCT,"Saint Vincent and the Grenadines","North America",114000,6078749450
VEN,Venezuela,"South America",24170000,6078749450
VGB,"Virgin Islands, British","North America",21000,6078749450
VIR,"Virgin Islands, U.S.","North America",93000,6078749450
VNM,Vietnam,Asia,79832000,6078749450
VUT,Vanuatu,Oceania,190000,6078749450
WLF,"Wallis and Futuna",Oceania,15000,6078749450
WSM,Samoa,Oceania,180000,6078749450
YEM,Yemen,Asia,18112000,6078749450
YUG,Yugoslavia,Europe,10640000,6078749450
ZAF,"South Africa",Africa,40377000,6078749450
ZMB,Zambia,Africa,9169000,6078749450
ZWE,Zimbabwe,Africa,11669000,6078749450
